GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
EED,-0.89,TF,"epigenetic factor, polycomp group, transcription cofactor",1,62,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EEF1A1,-0.569999993,none,,3,10,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EEF1A1,-0.819999993,none,,3,67,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EEF1A1,-0.649999976,none,,3,22,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EEF1A2,-0.689999998,none,,20,14,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EEF1B2,0.699999988,none,,7,25,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
EEF1B2,-0.670000017,none,,7,33,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EEF1D,0.81,none,,2,20,1up_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,1,0
EEF1D,0.873333335,none,,2,42,1up_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,1,0
EEF1E1,-0.93,none,,2,34,2dw_LDtoNS_H_mtof,Top10.dw,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EEF1E1,-1.00999999,none,,2,38,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EEF2,-0.699999988,none,,28,38,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EEF2K,-0.569999993,none,,14,26,2dw_FW_H_mtof,,FW_H_mtof,mtof,FW,0,1
EEF2K,-0.560000002,none,,14,110,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EEF2K,-0.689999998,none,,14,25,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EEF2K,-0.610000014,none,,14,34,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EEF2KMT,-0.84,NA,NA,14,15,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EEFSEC,-0.9,none,,12,26,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EEPD1,-0.74000001,none,,2,14,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EEPD1,-0.88,none,,2,16,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EEPD1,-0.819999993,none,,2,18,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCAB1,0.709999979,none,,2,21,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
EFCAB1,-0.699999988,none,,2,22,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFCAB10,-0.939999998,none,,1A,38,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCAB14,1.275000036,none,,8,11,1up_CB_H_mtof,Top10.up,CB_H_mtof,mtof,CB,1,0
EFCAB14,-0.754999995,none,,8,16,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFCAB2,-0.87,none,,3,47,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCAB2,-0.870000005,none,,3,58,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCAB4A,-0.660000026,none,,5,10,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFCAB4A,-0.86,none,,5,23,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCAB4A,-0.890000006,none,,5,41,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCAB4B,-0.600000024,none,,1,10,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFCAB4B,-0.730000019,none,,1,15,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFCAB4B,-0.660000026,none,,1,14,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFCAB4B,-0.89,none,,1,337,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCAB4B,-0.900000006,none,,1,309,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
