ori,NewName,Species,Season,Sex,Testo,Tissue,Group,Group_tissue
Can_LD_male_ENT_35.CEL,LDm_E_35,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
Can_LD_male_ENT_36.CEL,LDm_E_36,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
Can_LD_male_ENT_37.CEL,LDm_E_37,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
Can_LD_male_ENT_38.CEL,LDm_E_38,CAN,LD,male,NA,Ento,breeding male      ,breeding male      _Ento
Can_LD_male_HVC_1.CEL,LDm_H_1,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_LD_male_HVC_172.CEL,LDm_H_172,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_LD_male_HVC_22.CEL,LDm_H_22,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_LD_male_HVC_3.CEL,LDm_H_3,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_LD_male_HVC_4.CEL,LDm_H_4,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_LD_male_HVC_5.CEL,LDm_H_5,CAN,LD,male,NA,HVC,breeding male      ,breeding male      _HVC
Can_SD_female_NatSing_Ento_958R.CEL,SDfS_E_958R,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_Ento_959R.CEL,SDfS_E_959R,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_Ento_960R.CEL,SDfS_E_960R,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_Ento_961R.CEL,SDfS_E_961R,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_Ento_962R.CEL,SDfS_E_962R,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_Ento_963L.CEL,SDfS_E_963L,CAN,SD,female,NA,Ento,non-breeding female      ,non-breeding female      _Ento
Can_SD_female_NatSing_HVC_958R.CEL,SDfS_H_958R,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_female_NatSing_HVC_959R.CEL,SDfS_H_959R,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_female_NatSing_HVC_960R.CEL,SDfS_H_960R,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_female_NatSing_HVC_961R.CEL,SDfS_H_961R,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_female_NatSing_HVC_962R.CEL,SDfS_H_962R,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_female_NatSing_HVC_963L.CEL,SDfS_H_963L,CAN,SD,female,NA,HVC,non-breeding female      ,non-breeding female      _HVC
Can_SD_male_ENT_1.CEL,SDm_E_1,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_ENT_2.CEL,SDm_E_2,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_ENT_3.CEL,SDm_E_3,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_ENT_4.CEL,SDm_E_4,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_ENT_5.CEL,SDm_E_5,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_ENT_6.CEL,SDm_E_6,CAN,SD,male,NA,Ento,non-breeding male,non-breeding male_Ento
Can_SD_male_HVC_1.CEL,SDm_H_1,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SD_male_HVC_2.CEL,SDm_H_2,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SD_male_HVC_3.CEL,SDm_H_3,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SD_male_HVC_4.CEL,SDm_H_4,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SD_male_HVC_5.CEL,SDm_H_5,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SD_male_HVC_6.CEL,SDm_H_6,CAN,SD,male,NA,HVC,non-breeding male,non-breeding male_HVC
Can_SDmT_ENT_2.CEL,SDmT_E_2,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_ENT_3.CEL,SDmT_E_3,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_ENT_4.CEL,SDmT_E_4,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_ENT_5.CEL,SDmT_E_5,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_ENT_6.CEL,SDmT_E_6,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_ENT_7.CEL,SDmT_E_7,CAN,SD,male,Testo,Ento,non-breeding male + T      ,non-breeding male + T      _Ento
Can_SDmT_HVC_2.CEL,SDmT_H_2,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
